iter	Passed	Remaining
418	2568	3561
419	2575	3556
420	2581	3549
421	2587	3543
422	2593	3537
423	2599	3530
424	2605	3524
425	2611	3518
426	2617	3512
427	2623	3505
428	2629	3500
429	2636	3494
430	2643	3489
431	2649	3483
432	2657	3479
433	2664	3474
434	2671	3469
435	2677	3463
436	2684	3458
437	2690	3452
438	2698	3447
439	2704	3442
440	2711	3437
441	2717	3431
442	2724	3425
443	2730	3419
444	2736	3412
445	2741	3405
446	2747	3398
447	2752	3391
448	2758	3384
449	2764	3378
450	2769	3371
451	2775	3364
452	2780	3357
453	2787	3351
454	2793	3345
455	2798	3338
456	2804	3331
457	2809	3324
458	2815	3318
459	2820	3311
460	2826	3304
461	2831	3297
462	2837	3290
463	2843	3284
464	2850	3279
465	2855	3272
466	2861	3266
467	2867	3259
468	2872	3252
469	2878	3246
470	2884	3239
471	2889	3232
472	2895	3225
473	2900	3218
474	2906	3212
475	2911	3205
476	2918	3199
477	2924	3193
478	2930	3187
479	2935	3180
480	2941	3173
481	2946	3166
482	2952	3159
483	2958	3153
484	2963	3146
485	2968	3139
486	2974	3133
487	2980	3127
488	2986	3120
489	2991	3113
490	2997	3107
491	3003	3101
492	3009	3094
493	3015	3088
494	3021	3082
495	3027	3076
496	3033	3070
497	3039	3064
498	3045	3057
499	3051	3051
500	3057	3045
501	3063	3039
502	3069	3033
503	3076	3027
504	3081	3020
505	3088	3014
506	3094	3008
507	3100	3002
508	3106	2996
509	3113	2991
510	3119	2985
511	3126	2979
512	3132	2973
513	3137	2967
514	3144	2960
515	3150	2954
516	3157	2949
517	3162	2943
518	3169	2937
519	3175	2930
520	3181	2925
521	3187	2919
522	3194	2913
523	3199	2906
524	3205	2900
525	3211	2894
526	3217	2888
527	3223	2881
528	3229	2875
529	3234	2868
530	3241	2863
531	3249	2858
532	3255	2852
533	3261	2846
534	3267	2839
535	3272	2833
536	3278	2826
537	3284	2820
538	3290	2814
539	3295	2807
540	3300	2800
541	3306	2794
542	3312	2787
543	3317	2781
544	3323	2774
545	3328	2768
546	3335	2762
547	3341	2756
548	3348	2750
549	3354	2744
550	3359	2737
551	3365	2731
552	3371	2725
553	3376	2718
554	3382	2711
555	3388	2705
556	3393	2699
557	3399	2692
558	3404	2685
559	3409	2679
560	3416	2673
561	3422	2666
562	3427	2660
563	3434	2654
564	3440	2648
565	3446	2642
566	3452	2636
567	3458	2630
568	3464	2624
569	3470	2618
570	3476	2611
571	3481	2605
572	3487	2598
573	3493	2592
574	3500	2586
575	3506	2580
576	3511	2574
577	3518	2568
578	3523	2562
579	3529	2555
580	3535	2549
581	3541	2543
582	3546	2536
583	3552	2530
584	3558	2524
585	3564	2518
586	3569	2511
587	3575	2505
588	3581	2499
589	3586	2492
590	3591	2485
591	3596	2478
592	3602	2472
593	3607	2466
594	3613	2459
595	3619	2453
596	3624	2446
597	3630	2440
598	3635	2433
599	3641	2427
600	3647	2421
601	3652	2414
602	3658	2408
603	3664	2402
604	3671	2397
605	3677	2391
606	3684	2385
607	3691	2379
608	3697	2373
609	3702	2367
610	3708	2361
611	3713	2354
612	3719	2348
613	3725	2341
614	3730	2335
615	3736	2329
616	3741	2322
617	3747	2316
618	3753	2310
619	3759	2303
620	3764	2297
621	3770	2291
622	3776	2285
623	3781	2278
624	3787	2272
625	3793	2266
626	3798	2259
627	3804	2253
628	3809	2247
629	3816	2241
630	3822	2235
631	3829	2229
632	3835	2223
633	3841	2217
634	3846	2211
635	3852	2204
636	3858	2198
637	3863	2192
638	3869	2186
639	3875	2179
640	3881	2174
641	3887	2167
642	3893	2161
643	3899	2155
644	3905	2149
645	3911	2143
646	3917	2137
647	3923	2131
648	3928	2124
649	3934	2118
650	3941	2112
651	3946	2106
652	3952	2100
653	3958	2094
654	3964	2088
655	3970	2081
656	3976	2075
657	3981	2069
658	3987	2063
659	3993	2057
660	3998	2050
661	4004	2044
662	4010	2038
663	4016	2032
664	4021	2026
665	4027	2019
666	4033	2013
667	4039	2007
668	4045	2001
669	4051	1995
670	4056	1989
671	4062	1982
672	4067	1976
673	4073	1970
674	4078	1963
675	4084	1957
676	4090	1951
677	4095	1945
678	4102	1939
679	4107	1933
680	4113	1926
681	4118	1920
682	4124	1914
683	4130	1908
684	4135	1901
685	4141	1895
686	4146	1889
687	4152	1882
688	4157	1876
689	4163	1870
690	4168	1864
691	4174	1858
692	4180	1852
693	4186	1845
694	4191	1839
695	4197	1833
696	4203	1827
697	4208	1820
698	4214	1814
699	4220	1808
700	4226	1802
701	4231	1796
702	4237	1790
703	4242	1783
704	4248	1777
705	4254	1771
706	4260	1765
707	4266	1759
708	4271	1753
709	4277	1747
710	4283	1741
711	4289	1735
712	4295	1728
713	4301	1722
714	4306	1716
715	4313	1710
716	4318	1704
717	4325	1698
718	4331	1692
719	4337	1686
720	4343	1680
721	4349	1674
722	4355	1668
723	4360	1662
724	4367	1656
725	4372	1650
726	4378	1644
727	4384	1638
728	4390	1632
729	4396	1625
730	4401	1619
731	4408	1613
732	4413	1607
733	4419	1601
734	4425	1595
735	4431	1589
736	4437	1583
737	4443	1577
738	4449	1571
739	4455	1565
740	4461	1559
741	4467	1553
742	4473	1547
743	4480	1541
744	4486	1535
745	4491	1529
746	4498	1523
747	4504	1517
748	4510	1511
749	4516	1505
750	4522	1499
751	4528	1493
752	4535	1487
753	4541	1481
754	4547	1475
755	4553	1469
756	4559	1463
757	4565	1457
758	4571	1451
759	4577	1445
760	4583	1439
761	4589	1433
762	4594	1427
763	4600	1420
764	4605	1414
765	4612	1408
766	4618	1402
767	4623	1396
768	4629	1390
769	4635	1384
770	4641	1378
771	4646	1372
772	4652	1366
773	4657	1360
774	4663	1353
775	4669	1347
776	4675	1341
777	4680	1335
778	4686	1329
779	4692	1323
780	4698	1317
781	4704	1311
782	4710	1305
783	4716	1299
784	4722	1293
785	4727	1287
786	4732	1280
787	4738	1274
788	4743	1268
789	4749	1262
790	4755	1256
791	4760	1250
792	4765	1244
793	4770	1237
794	4776	1231
795	4782	1225
796	4787	1219
797	4793	1213
798	4798	1207
799	4803	1200
800	4809	1194
801	4815	1188
802	4820	1182
803	4826	1176
804	4831	1170
805	4837	1164
806	4842	1158
807	4848	1152
808	4853	1145
809	4859	1139
810	4864	1133
811	4870	1127
812	4875	1121
813	4881	1115
814	4886	1109
815	4892	1103
816	4898	1097
817	4905	1091
818	4910	1085
819	4916	1079
820	4922	1073
821	4928	1067
822	4935	1061
823	4942	1055
824	4947	1049
825	4955	1043
826	4961	1037
827	4966	1031
828	4972	1025
829	4978	1019
830	4984	1013
831	4989	1007
832	4995	1001
833	5000	995
834	5006	989
835	5011	983
836	5017	977
837	5023	971
838	5029	965
839	5035	959
840	5043	953
841	5049	947
842	5054	941
843	5060	935
844	5065	929
845	5071	923
846	5076	917
847	5082	910
848	5088	904
849	5093	898
850	5099	892
851	5104	886
852	5110	880
853	5115	874
854	5121	868
855	5127	862
856	5132	856
857	5139	850
858	5144	844
859	5150	838
860	5156	832
861	5161	826
862	5167	820
863	5173	814
864	5178	808
865	5184	802
866	5190	796
867	5195	790
868	5201	784
869	5207	778
870	5213	772
871	5220	766
872	5226	760
873	5232	754
874	5238	748
875	5243	742
876	5249	736
877	5255	730
878	5260	724
879	5266	718
880	5272	712
881	5278	706
882	5284	700
883	5290	694
884	5296	688
885	5302	682
886	5307	676
887	5313	670
888	5318	664
889	5324	658
890	5330	652
891	5336	646
892	5341	640
893	5347	634
894	5353	628
895	5359	622
896	5364	616
897	5371	610
898	5377	604
899	5383	598
900	5389	592
901	5395	586
902	5400	580
903	5406	574
904	5412	568
905	5417	562
906	5423	556
907	5429	550
908	5435	544
909	5440	538
910	5446	532
911	5452	526
912	5457	520
913	5463	514
914	5469	508
915	5475	502
916	5481	496
917	5487	490
918	5493	484
919	5499	478
920	5505	472
921	5511	466
922	5517	460
923	5523	454
924	5529	448
925	5535	442
926	5541	436
927	5546	430
928	5552	424
929	5558	418
930	5563	412
931	5569	406
932	5574	400
933	5580	394
934	5586	388
935	5593	382
936	5599	376
937	5605	370
938	5610	364
939	5616	358
940	5622	352
941	5628	346
942	5633	340
943	5639	334
944	5645	328
945	5651	322
946	5656	316
947	5662	310
948	5668	304
949	5674	298
950	5680	292
951	5686	286
952	5692	280
953	5697	274
954	5703	268
955	5708	262
956	5714	256
957	5719	250
958	5725	244
959	5730	238
960	5736	232
961	5742	226
962	5747	220
963	5754	214
964	5760	208
965	5766	202
966	5772	196
967	5779	191
968	5785	185
969	5791	179
970	5797	173
971	5802	167
972	5809	161
973	5815	155
974	5821	149
975	5828	143
976	5835	137
977	5842	131
978	5848	125
979	5854	119
980	5863	113
981	5869	107
982	5875	101
983	5881	95
984	5888	89
985	5894	83
986	5899	77
987	5907	71
988	5913	65
989	5919	59
990	5925	53
991	5931	47
992	5938	41
993	5944	35
994	5952	29
995	5957	23
996	5963	17
997	5969	11
998	5978	5
999	5984	0
